Descripción,Unidad,Costo
"Entrada de servicio (mufa) tipo abrazadera de 3/4""(19 mm) modelo EHC-2",pieza,$37.50
"Escalerilla, diseño 20-2. diseño 17 cm, separacióm 30 cm",pieza,$13.00
Escalon para pozo de visita ligero,pieza,$67.17
"Esferas de poliestireno expandido recubiertos con aditivo STC-STYRENCRET para un peso volumétrico seco de 1,450 kg/m3, bolsa de 200 lts",l,$1.45
"Esquinero metálico 30, de 2.44 m",pieza,$17.76
"Estopa blanca, bolsa de 1 kg, clave EST0-1B",kg,$39.00
"Extremidad Fo.Fo. bridada de 10""(256 mm)",pieza,"$1,933.13"
"Extremidad Fo.Fo. bridada de 2""(51 mm)",pieza,$265.79
"Extremidad Fo.Fo. bridada de 2-1/2""(63 mm)",pieza,$338.36
"Extremidad Fo.Fo. bridada de 3""(76 mm)",pieza,$429.06
"Extremidad Fo.Fo. bridada de 4""(101 mm)",pieza,$607.84
"Extremidad Fo.Fo. bridada de 6""(152 mm)",pieza,$970.66
"Extremidad Fo.Fo. bridada de 8""(203 mm)",pieza,"$1,361.52"
Fabrimalla de acero de 2 x 2 - 14/14.,pieza,$49.89
"Fester Silicón, cubeta de 19 litros",l,$157.58
"Fierro estructural de 1"" x 1/8""",kg,$17.21
Flete Mty-Mex (224 m2),Flete,"$23,639.21"
Flete Mty-Mex (280 m2),Flete,"$30,170.85"
"Foco de vapor de sodio de 150w, modelo Foco SHP-TS 150W E39",pieza,$165.52
"Foco de vapor de sodio de 250w, modelo Foco SODIO LU250W ED18 E39",pieza,$129.31
"Franela de algodón color gris, rollo de 50 m, clave FRA-50G",m,$10.50
Gas butano,kg,$16.58
Gasolina Magna,l,$17.62
Gastos de taller (10% de materiales),%ma,$171.12
Grava cementada controlada,m³,$220.56
"Grava de 1-1/2"" (38 mm)",m³,$451.05
"Grava de 3/4"" (19 mm)",m³,$350.95
Gravilla,m³,$266.52
"Hidroprimer®, cubeta de 19 lts",pieza,"$1,816.00"
"Impermeabilizante asfáltico Vaportite 550®, cubeta de 19 lts",pieza,"$1,968.00"
Juego de herrajes para puerta modelo 65 L 300,juego,$134.81
"Juego de herrajes para ventana de 2"".",juego,$50.87
"Juego de llaves individuales para lavabo modelo FIG 242, acabado cromado",pieza,$690.11
"Juego de manerales grandes “KING” acabado latón, modelo KG",pieza,$241.55
"Junta Gibault Fo.Fo. Completa de 10"" (256 mm) de diámetro",pieza,$622.35
"Junta Gibault Fo.Fo. Completa de 2"" (51 mm) de diámetro",pieza,$89.18
"Junta Gibault Fo.Fo. Completa de 2-1/2"" (63 mm) de diámetro",pieza,$107.06
"Junta Gibault Fo.Fo. Completa de 3"" (76 mm) de diámetro",pieza,$128.24
"Junta Gibault Fo.Fo. Completa de 4"" (101 mm) de diámetro",pieza,$194.71
"Junta Gibault Fo.Fo. Completa de 6"" (152 mm) de diámetro",pieza,$304.71
"Junta Gibault Fo.Fo. Completa de 8"" (203 mm) de diámetro",pieza,$457.65
Lámina galvanizada calibre 10 con recubrimiento anticorrosión espesor de 3.45 mm de 3' x 10' (75.34 kg/Pieza),kg,$23.32
"Lámina galvanizada de 4'x8', calibre 18, con recubrimiento de zinc",kg,$21.47
"Lavabo de cerámica de alto brillo de bajo cubierta con rebosadero, color blanco, tipo Lugano, modelo LV Lugano",pieza,$909.79
Llantas 1100-20 (6),juego,"$24,020.36"
Llantas 11x22 (12 capas) (8) & 33.25x29 26 PRE-3 (2),juego,"$272,514.21"
Llantas 1300 x 24 14 PR G-2 (6),juego,"$61,085.95"
Llantas 14.9-24 6 R-4 (2),juego,"$14,536.09"
Llantas 15.5 X 25 12 C L-2 (4),juego,"$19,085.69"
Llantas 1800 (4),juego,"$138,024.15"
"Loseta modelo Gala Beige de 20.1 x 30.2 cm, aspecto mármol, acabado brillante para muro",m²,$123.00
"Loseta vinílica de 1.6 mm de espesor, de 30.48 x 30.48 cm, modelo PM 326",m²,$75.96
"Loseta vinílica de 3.1 mm de espesor, de 30.48 x 30.48 cm, modelo TC 573",m²,$156.64
"Luminaria Diamante para alumbrado vial, VSAP 250 W, modelo LM026",pieza,"$3,227.00"
"Luminaria LED de calle SL-SM de 63 W, 6,800 lm, 120/227V, código 221565",pieza,"$5,282.48"
