Clave,Descripción,Unidad,Precio,Familia
CRUZA-020,"Concreto premezclado no bombeable F´c=300 Kg/cm2, normal clase I, 20 mm. revenimiento hasta 10 +- 2.5 cms. Concretos Cruz Azul.",m3,2743.5,CONCRETO PREMEZCLADO
CRUZA-021,"Concreto premezclado no bombeable F´c=350 Kg/cm2, normal clase I, 20 mm. revenimiento hasta 10 +- 2.5 cms. Concretos Cruz Azul.",m3,2957.4,CONCRETO PREMEZCLADO
CRUZA-022,"Concreto premezclado no bombeable F´c=400 Kg/cm2, normal clase I, 20 mm. revenimiento hasta 10 +- 2.5 cms. Concretos Cruz Azul.",m3,3180.6,CONCRETO PREMEZCLADO
CRUZA-023,"Concreto premezclado no bombeable F´c=450 Kg/cm2, normal clase I, 20 mm. revenimiento hasta 10 +- 2.5 cms. Concretos Cruz Azul.",m3,3450.3,CONCRETO PREMEZCLADO
CRUZA-023E,"Concreto premezclado no bombeable F´c=450 Kg/cm2, rápido clase I, 20 mm. revenimiento hasta 10 +- 2.5 cms. Concretos Cruz Azul.",m3,2777.54,CONCRETO PREMEZCLADO
CRUZA-023J,"Concreto premezclado no bombeable F´c=450 Kg/cm2, retardante clase I, 20 mm. revenimiento hasta 10 +- 2.5 cms. Concretos Cruz Azul.",m3,3072.47,CONCRETO PREMEZCLADO
CRUZA-024,"Concreto premezclado bombeable F´c=150 Kg/cm2, normal clase II, 20 mm. revenimiento hasta 14 +- 3.5 cms. Concretos Cruz Azul.",m3,1644.15,CONCRETO PREMEZCLADO
CRUZA-025,"Concreto premezclado bombeable F´c=200 Kg/cm2, normal clase II, 20 mm. revenimiento hasta 14 +- 3.5 cms. Concretos Cruz Azul.",m3,1760.54,CONCRETO PREMEZCLADO
CRUZA-026,"Concreto premezclado bombeable F´c=250 Kg/cm2, normal clase II, 20 mm. revenimiento hasta 14 +- 3.5 cms. Concretos Cruz Azull.",m3,1872.41,CONCRETO PREMEZCLADO
CRUZA-027,"Concreto premezclado bombeable F´c=300 Kg/cm2, normal clase II, 20 mm. revenimiento hasta 14 +- 3.5 cms. Concretos Cruz Azull.",m3,2012.53,CONCRETO PREMEZCLADO
CRUZA-028,"Concreto premezclado bombeable F´c=350 Kg/cm2, normal clase II, 20 mm. revenimiento hasta 14 +- 3.5 cms. Concretos Cruz Azull.",m3,2170.73,CONCRETO PREMEZCLADO
CRUZA-029,"Concreto premezclado bombeable F´c=400 Kg/cm2, normal clase II, 20 mm. revenimiento hasta 14 +- 3.5 cms. Concretos Cruz Azull.",m3,2336.84,CONCRETO PREMEZCLADO
CRUZA-040A,"Concreto premezclado bombeable F´c=400 Kg/cm2, retardante clase II, 20 mm. revenimiento hasta 14 +- 3.5 cms. Concretos Cruz Azul.",m3,2534.59,CONCRETO PREMEZCLADO
CRUZA-041,"Concreto premezclado bombeable F´c=250 Kg/cm2, normal clase I, 20 mm. revenimiento hasta 14 +- 3.5 cms. Concretos Cruz Azul.",m3,2108.58,CONCRETO PREMEZCLADO
CRUZA-042,"Concreto premezclado bombeable F´c=300 Kg/cm2, normal clase I, 20 mm. revenimiento hasta 14 +- 3.5 cms. Concretos Cruz Azul.",m3,2269.04,CONCRETO PREMEZCLADO
CRUZA-043,"Concreto premezclado bombeable F´c=350 Kg/cm2, normal clase I, 20 mm. revenimiento hasta 14 +- 3.5 cms. Concretos Cruz Azul.",m3,2428.37,CONCRETO PREMEZCLADO
CRUZA-044,"Concreto premezclado bombeable F´c=400 Kg/cm2, normal clase I, 20 mm. revenimiento hasta 14 +- 3.5 cms. Concretos Cruz Azul.",m3,2601.26,CONCRETO PREMEZCLADO
CRUZA-044A,"Concreto premezclado bombeable F´c=450 Kg/cm2, normal clase I, 20 mm. revenimiento hasta 14 +- 3.5 cms. Concretos Cruz Azul.",m3,2777.54,CONCRETO PREMEZCLADO
CRUZA-048A,"Concreto premezclado bombeable F´c=450 Kg/cm2, rápido clase I, 20 mm. revenimiento hasta 14 +- 3.5 cms. Concretos Cruz Azul.",m3,2975.29,CONCRETO PREMEZCLADO
CRUZA-052A,"Concreto premezclado bombeable F´c=450 Kg/cm2, retardante clase I, 20 mm. revenimiento hasta 14 +- 3.5 cms. Concretos Cruz Azul.",m3,3141.4,CONCRETO PREMEZCLADO
CRUZA-054,Bombeo de concreto premezclado de 29 a 32 mts. de alcance con bomba pluma y revenimiento de 18 cms.,m3,352.56,BOMBEO DE CONCRETO
CRUZA-053,Bombeo de concreto premezclado de 16 a 28 mts. de alcance con bomba pluma y revenimiento de 18 cms.,m3,290.52,BOMBEO DE CONCRETO
CRUZA-055,Bombeo de concreto premezclado de 33 a 36 mts. de alcance con bomba pluma y revenimiento de 18 cms.,m3,381.94,BOMBEO DE CONCRETO
CRUZA-056A,Bombeo de concreto premezclado de 43 a 44 mts. de alcance con bomba pluma y revenimiento de 18 cms.,m3,496.07,BOMBEO DE CONCRETO
CRUZA-056C,Bombeo de concreto premezclado de 51 a 52 mts. de alcance con bomba pluma y revenimiento de 18 cms.,m3,615.85,BOMBEO DE CONCRETO
CRUZA-058,Bombeo de concreto premezclado de 17 hasta 30 mts. de altura con bomba estacionaria y revenimiento de 18 cms.,m3,284.76,BOMBEO DE CONCRETO
CRUZA-060,Bombeo de concreto premezclado de 43 hasta 54 mts. de altura con bomba estacionaria y revenimiento de 18 cms.,m3,340.13,BOMBEO DE CONCRETO
AGAS-001,"Arena triturada 1/4"" a finos para base asfáltica considerar flete por separado consultar proveedor.",m3,447,AGREGADOS
AGAS-002,"Grava triturada 3/4"" para base asfáltica.",m3,465,AGREGADOS
AGAS-006,"Base grava - arena triturada 1 1/2"" finos para base asfáltica L.A.B. Mina de San Luis c/promedio de acarreo de 1 a 80 km.",m3,146.9,AGREGADOS
AGAS-008,"Base grava 1""- tepetate 1 1/2"" finos para base asfáltica L.A.B. Mina de San Luis con promedio de acarreo de 1 a 80 km.",m3,214,AGREGADOS
AGAS-010,Piedra sin seleccionar grande para base asfáltica L.A.B. Mina de San Luis.,m3,135.78,AGREGADOS
AGAS-011,"Piedra para filtro de tamaño 3"" a 10"" para base asfáltica L.A.B. Mina de San Luis.",m3,233,AGREGADOS
AGAS-012,Tepetate con promedio de 1 a 80 km de acarreo.,m3,307,AGREGADOS
AGAS-021,Mezcla de tepetate con arenilla,m3,62.15,AGREGADOS
AGRE-001,Arena en camión de 6 m3.,Camion,3125,AGREGADOS
AGRE-002,"Grava de 3/4"" (19 mm) en camión de 6 m3.",camion,3255,AGREGADOS
AGRE-005,Tezontle de 20 mm. espeso o grueso en camión de 7 m3.,m3,438,AGREGADOS
AGRE-007,Piedra braza para mampostería (en camión con 5 m3).,m3,744,AGREGADOS
AGRE-008,Piedra bola limón o matatena (1 m3 es equivalente a 44 botes).,m3,2983.2,AGREGADOS
AGRE-014,Calhidra.,ton,3496,AGREGADOS
AGRE-016C,Pipa de agua (cotizado a zonas aledañas al proveedor) cap. 8000 lt.,pipa,1860,AGREGADOS
AGRE-033,Agua potable de uso no doméstico diámetro de la toma de 19 a 26 mm cuota fija bimestral.,cuo,33922.035,AGREGADOS
AGRE-037,Agua potable de uso no doméstico diámetro de la toma de 51 a 64 mm cuota fija bimestral.,cuo,180124.5,AGREGADOS
AGRE-041,Agua potable de uso no doméstico diámetro de la toma de 150 a 200 mm cuota fija bimestral.,cuo,313932,AGREGADOS
AGRE-045,"Agua potable de uso no doméstico de 0 a 10,000 lts de consumo tarifa bimestral sin subsidio.",cuo,389.85,AGREGADOS
AGRE-048,"Agua potable de uso no doméstico de 30,000 a 50,000 lts de consumo tarifa bimestral sin subsidio cuota adicional de 35.00 por cada 1000 lts excedentes.",cuo,1045.25,AGREGADOS
AGRE-051,"Agua potable de uso no doméstico de 90,000 a 120,000 lts de consumo tarifa bimestral sin subsidio cuota adicional de 41.00 por cada 1000 lts excedentes.",cuo,3463.45,AGREGADOS
AGRE-052,"Agua potable de uso no doméstico de 0 a 10,000 lts de consumo tarifa bimestral con subsidio",cuo,152.55,AGREGADOS
AGRE-055,"Agua potable de uso no doméstico de 30,000 a 50,000 lts de consumo tarifa bimestral con subsidio cuota adicional de 29.00 por cada 1000 lts excedentes.",cuo,598.674,AGREGADOS
AGRE-058,"Agua potable de uso no doméstico de 90,000 a 120,000 lts de consumo tarifa bimestral con subsidio cuota adicional de 40.00 por cada 1000 lts excedentes.",cuo,2789.744,AGREGADOS
FRIG-51,Perla preexpandida de poliestireno para aligerar concreto marca Frigocel,kg,67.8,AGREGADOS
AGRE-015,Cero fino y grueso polvo de mármol.,ton,4929,AGREGADOS
SPGC-046,"Pigmento integral para concreto color café oscuro saco de 25 kg, marca SPG.",sac,967.28,AGREGADOS
PASA-214,"Endurecedor de superficies, tipo protecto dur S, endurecedor superficial mineral, saco de 50 kg.",sac,378.55,ADITIVOS PARA CONCRETO
PASA-215,"Aditivos modificadores de concreto, protecto fluid N súper fluidificante p/concreto, tambo de 200 lt.",tmb,4300.78,ADITIVOS PARA CONCRETO
PASA-216,"Aditivos modificadores de concreto, protecto fluid R retardante y fluidificante, tambo de 200 lt.",tmb,5453.38,ADITIVOS PARA CONCRETO
PASA-217,"Aditivos modificadores de concreto, protecto fluid ALC acelerante libre de cloruros, tambo de 200 lt.",tmb,4828.49,ADITIVOS PARA CONCRETO
PASA-220,"Aditivos modificadores de concreto, protecto dis N reductor de agua p/concreto, tambo de 200 lt.",tmb,2932.35,ADITIVOS PARA CONCRETO
PASA-229,"Refuerzo sec. p/concreto, tipo pasa fiber, incrementa la resistencia al impacto, la tensión y la flexión, evita agrietamiento 120 bolsas de 100 g.",caj,1627.2,ADITIVOS PARA CONCRETO
PASA-187,"Desmoldantes para cimbra, tipo desmoldante líquido listo para usarse solventado, tambor de 200 lt.",tmb,5651.13,ADITIVOS PARA CONCRETO
SPGC-017,"Endurecedor color negro, presentación de 27 kg, para concreto estampado.",caj,327.7,ADITIVOS PARA CONCRETO
SPGC-022,"Endurecedor color blanco, presentación de 27 kg, para concreto estampado.",caj,282.5,ADITIVOS PARA CONCRETO
SPGC-285,"Oxidantes para concreto SPG, color ladrillo, presentación en 1 galón.",gal,1039.6,ADITIVOS PARA CONCRETO
SPGC-296,"Oxidantes para concreto SPG, color terracota, presentación en 1/4 de galón.",cb,268.94,ADITIVOS PARA CONCRETO
DIMA-068,"Pegamento blanco resistol 850, presentación en cubeta de 20 kg.",cb,1575.1861,PEGAMENTOS Y ADHESIVOS
MFIB-096,"Unecreto plaf, adhesivo para concreto y selladores, presentación en cubeta de 19 lt.",cb,1180.85,PEGAMENTOS Y ADHESIVOS
MFIB-101,"Unecreto, alto desempeño, adhesivo para concreto y selladores, presentación en cubeta de 19 lt.",cb,1421.97,PEGAMENTOS Y ADHESIVOS
MFIB-104,"Unecon, uso profesional, adhesivo para concreto y selladores, presentación en cubeta de 19 lt.",cb,791,PEGAMENTOS Y ADHESIVOS
PASA-191,"Adhesivos para mortero y concreto (acrílico y vinílico), tipo elite bond adhesivo premium, en tambo de 200 lt.",tmb,11164.4,PEGAMENTOS Y ADHESIVOS
PASA-201,"Adhesivos para mortero y concreto (epóxidos), tipo epoxibond líquido repara concretos 2 componentes (4 lt).",jgo,1480.3,PEGAMENTOS Y ADHESIVOS
DURA-301,"Pegamento látex D-850, presentación en cubeta de 15 lt.",cb,751.45,PEGAMENTOS Y ADHESIVOS
PRVI-040,"Pegamento tapizol 1125, presentación en lata de 3.785 lt.",gal,654.35,PEGAMENTOS Y ADHESIVOS
PRVI-043,"Pegamento adhepiso 1190, presentación en cubeta de 19 lt.",cb,1394.73,PEGAMENTOS Y ADHESIVOS
CMC-21660,Adhesivo multiusos cemento blanco contenido 20 kg por saco marca Crest.,sac,84.8969,PEGAMENTOS Y ADHESIVOS
COMB-004,"Gasolina magna, no incluye IVA ni IEPYS.",lt,20.6,ENERGÉTICOS Y LUBRICANTES
COMB-009,"Gasolina premium, no incluye IVA ni IEPYS",lt,,ENERGÉTICOS Y LUBRICANTES
COMB-005,Gas butano (Lp).,kg,10.9723,ENERGÉTICOS Y LUBRICANTES
COMB-006,"Diesel, no incluye IVA ni IEPYS.",lt,24.83,ENERGÉTICOS Y LUBRICANTES
COMB-007,Aceite verde para motor a diesel marca Mexlub.,lt,78.12,ENERGÉTICOS Y LUBRICANTES
COMB-008,Aceite azul Akron multigrado para motor a gasolina.,lt,78.12,ENERGÉTICOS Y LUBRICANTES
COMB-010,Tarifa 2 de energía eléctrica servicio general en baja tensión rango de 1 a 50 kw.,kw/hr,2.4634,ENERGÉTICOS Y LUBRICANTES
COMB-011,Tarifa 2 de energía eléctrica servicio general en baja tensión rango de 51 a 100 kw.,kw/hr,2.9719,ENERGÉTICOS Y LUBRICANTES
COMB-012,Tarifa 2 de energía eléctrica servicio general en baja tensión rango adicional a 100 kw.,kw/hr,2.9719,ENERGÉTICOS Y LUBRICANTES
ROCA-001,Vigueta de 0.08 x 0.50 mts marca Rocacero.,pza,19.8767,VIGUETA Y BOVEDILLA
ROCA-006,Vigueta de 0.08 x 1.00 mts marca Rocacero.,pza,39.7534,VIGUETA Y BOVEDILLA
ROCA-016,Vigueta de 0.08 x 2.00 mts marca Rocacero.,pza,79.5068,VIGUETA Y BOVEDILLA
ROCA-026,Vigueta de 0.08 x 3.00 mts marca Rocacero.,pza,119.2602,VIGUETA Y BOVEDILLA
ROCA-032,Vigueta de 0.11 x 0.50 mts marca Rocacero.,pza,24.7357,VIGUETA Y BOVEDILLA
ROCA-038,Vigueta de 0.11 x 1.20 mts marca Rocacero.,pza,59.3702,VIGUETA Y BOVEDILLA
ROCA-044,Vigueta de 0.11 x 2.10 mts marca Rocacero.,pza,103.9148,VIGUETA Y BOVEDILLA
ROCA-051,Vigueta de 0.11 x 3.10 mts marca Rocacero.,pza,170.3475,VIGUETA Y BOVEDILLA
ROCA-060,Vigueta de 0.11 x 4.00 mts marca Rocacero.,pza,241.6844,VIGUETA Y BOVEDILLA
ROCA-064,Vigueta de 0.14 x 0.50 mts marca Rocacero.,pza,24.7357,VIGUETA Y BOVEDILLA
ROCA-069,Vigueta de 0.14 x 1.00 mts marca Rocacero.,pza,49.4827,VIGUETA Y BOVEDILLA
ROCA-074,Vigueta de 0.14 x 1.50 mts marca Rocacero.,pza,74.2184,VIGUETA Y BOVEDILLA
ROCA-079,Vigueta de 0.14 x 2.00 mts marca Rocacero.,pza,98.9654,VIGUETA Y BOVEDILLA
ROCA-084,Vigueta de 0.14 x 2.50 mts marca Rocacero.,pza,123.7011,VIGUETA Y BOVEDILLA
ROCA-089,Vigueta de 0.14 x 3.00 mts marca Rocacero.,pza,148.4481,VIGUETA Y BOVEDILLA
ROCA-099,Vigueta de 0.14 x 4.00 mts marca Rocacero.,pza,241.6844,VIGUETA Y BOVEDILLA
ROCA-109,Vigueta de 0.14 x 5.10 mts marca Rocacero.,pza,498.782,VIGUETA Y BOVEDILLA
ROCA-117,Vigueta de 0.14 x 6.00 mts marca Rocacero.,pza,638.2692,VIGUETA Y BOVEDILLA
ROCA-127,Vigueta de 0.14 x 7.00 mts marca Rocacero.,pza,990.332,VIGUETA Y BOVEDILLA
ROCA-201,Bovedilla de tepexil 85 x 25 x 16 cms marca Rocacero.,pza,12.995,VIGUETA Y BOVEDILLA
ROCA-202,Bovedilla de tepexil 85 x 25 x 14 cms marca Rocacero.,pza,12.4074,VIGUETA Y BOVEDILLA
ROCA-203,Bovedilla de tepexil 75 x 25 x 26 cms marca Rocacero.,pza,15.6844,VIGUETA Y BOVEDILLA
ROCA-205,Bovedilla de tepexil 75 x 25 x 16 cms marca Rocacero.,pza,11.074,VIGUETA Y BOVEDILLA
ROCA-207,Bovedilla de tepexil 60 x 25 x 20 cms marca Rocacero.,pza,8.9722,VIGUETA Y BOVEDILLA
ROCA-208,Bovedilla de tepexil 60 x 25 x 16 cms marca Rocacero.,pza,10.3395,VIGUETA Y BOVEDILLA
ROCA-211,Bovedilla de tepexil 50 x 25 x 16 cms marca Rocacero.,pza,6.6557,VIGUETA Y BOVEDILLA
FRIG-21,Bovedilla de poliestireno expandido de baja densidad (varias medidas) marca Frigocel.,m3,886.76,VIGUETA Y BOVEDILLA
FRIG-22,Bovedilla de poliestireno expandido de baja densidad 122 x 64 x 13 cms marca Frigocel,pza,95.05,VIGUETA Y BOVEDILLA
FRIG-24,Bovedilla de poliestireno expandido de baja densidad 122 x 64 x 15 cms marca Frigocel,pza,116.72,VIGUETA Y BOVEDILLA
