Clave Cuadrilla,Descripción Cuadrilla,Sección,Descripción,Unidad,Cantidad
00-M0020,Cuadrilla 20 (Operador de cargador + ayudante),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0021,Cuadrilla 21 (Operador de carpeteador + 1 tornillero + 2 rastrilleros + 3 ayudantes),MANO DE OBRA,Operador de carpeteador,jor,1.000000
00-M0021,Cuadrilla 21 (Operador de carpeteador + 1 tornillero + 2 rastrilleros + 3 ayudantes),MANO DE OBRA,Tornillero,jor,1.000000
00-M0021,Cuadrilla 21 (Operador de carpeteador + 1 tornillero + 2 rastrilleros + 3 ayudantes),MANO DE OBRA,Rastrillero,jor,2.000000
00-M0021,Cuadrilla 21 (Operador de carpeteador + 1 tornillero + 2 rastrilleros + 3 ayudantes),MANO DE OBRA,Ayudante oficial,jor,3.000000
00-M0021,Cuadrilla 21 (Operador de carpeteador + 1 tornillero + 2 rastrilleros + 3 ayudantes),MANO DE OBRA,Cabo de oficios,jor,0.350000
00-M0021,Cuadrilla 21 (Operador de carpeteador + 1 tornillero + 2 rastrilleros + 3 ayudantes),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0021,Cuadrilla 21 (Operador de carpeteador + 1 tornillero + 2 rastrilleros + 3 ayudantes),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0023,Cuadrilla 23 (Operador de duo-pactor),MANO DE OBRA,Operador de duo-pactor,jor,1.000000
00-M0023,Cuadrilla 23 (Operador de duo-pactor),MANO DE OBRA,Cabo de oficios,jor,0.050000
00-M0023,Cuadrilla 23 (Operador de duo-pactor),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0023,Cuadrilla 23 (Operador de duo-pactor),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0024,Cuadrilla 24 (Operador de motoconformadora + ayudante),MANO DE OBRA,Operador de motoconformadora,jor,1.000000
00-M0024,Cuadrilla 24 (Operador de motoconformadora + ayudante),MANO DE OBRA,Ayudante oficial,jor,1.000000
00-M0024,Cuadrilla 24 (Operador de motoconformadora + ayudante),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0024,Cuadrilla 24 (Operador de motoconformadora + ayudante),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0024,Cuadrilla 24 (Operador de motoconformadora + ayudante),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0026,Cuadrilla 26 (Operador de petrolizadora + ayudante),MANO DE OBRA,Operador de petrolizadora,jor,1.000000
00-M0026,Cuadrilla 26 (Operador de petrolizadora + ayudante),MANO DE OBRA,Ayudante oficial,jor,1.000000
00-M0026,Cuadrilla 26 (Operador de petrolizadora + ayudante),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0026,Cuadrilla 26 (Operador de petrolizadora + ayudante),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0026,Cuadrilla 26 (Operador de petrolizadora + ayudante),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0027,Cuadrilla 27 (Operador de plancha),MANO DE OBRA,Operador de plancha,jor,1.000000
00-M0027,Cuadrilla 27 (Operador de plancha),MANO DE OBRA,Ayudante oficial,jor,1.000000
00-M0027,Cuadrilla 27 (Operador de plancha),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0027,Cuadrilla 27 (Operador de plancha),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0027,Cuadrilla 27 (Operador de plancha),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0028,Cuadrilla 28 (Operador de retroexcavadora + ayudante),MANO DE OBRA,Operador de retroexcavadora,jor,1.000000
00-M0028,Cuadrilla 28 (Operador de retroexcavadora + ayudante),MANO DE OBRA,Ayudante oficial,jor,1.000000
00-M0028,Cuadrilla 28 (Operador de retroexcavadora + ayudante),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0028,Cuadrilla 28 (Operador de retroexcavadora + ayudante),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0028,Cuadrilla 28 (Operador de retroexcavadora + ayudante),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0029,Cuadrilla 29 (Operador de tractor + ayudante),MANO DE OBRA,Operador de tractor,jor,1.000000
00-M0029,Cuadrilla 29 (Operador de tractor + ayudante),MANO DE OBRA,Ayudante oficial,jor,1.000000
00-M0029,Cuadrilla 29 (Operador de tractor + ayudante),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0029,Cuadrilla 29 (Operador de tractor + ayudante),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
