Descripción,Costo
Lámina galvanizada calibre 10 con recubrimiento anticorrosión espesor de 3.45 mm de 3' x 10' (75.34 kg/Pieza),$26.65
"Lámina galvanizada de 4'x8', calibre 18, con recubrimiento de zinc",$24.49
"Lavabo de cerámica de alto brillo de bajo cubierta con rebosadero, color balnco, tipo Lugano, modelo LV Lugano","$1,518.97"
Llantas 1100-20 (6),"$34,507.59"
Llantas 11x22 (12 capas) (8) & 33.25x29 26 PRE-3 (2),"$391,493.22"
Llantas 1300 x 24 14 PR G-2 (6),"$87,755.92"
Llantas 14.9-24 6 R-4 (2),"$20,882.50"
Llantas 15.5 X 25 12 C L-2 (4),"$27,418.46"
Llantas 1800 (4),"$198,285.15"
"Loseta modelo Gala Beige de 20.1 x 30.2 cm, aspecto mármol, acabado brillante para muro",$139.64
"Loseta vinílica de 1.6 mm de espesor, de 30.48 x 30.48 cm, modelo PM 326",$232.78
"Loseta vinílica de mm de espesor, de 30.48 x 30.48 cm, modelo TC 573",$82.50
"Luminaria Diamante para alumbrado vial, VSAP 250 W, modelo LM026","$1,382.90"
"Luminaria LED de calle SL-SM de 63 W, 6,800 lm, 120/227V, código 221565","$5,198.07"
"Luminaria LED de calle SL-SM de 94 W, 10,200 lm, 120/227V, código 221569","$6,130.37"
"Luminario Europea Led de 105 W, modelo LP010, carcaza de aluminio inyectado","$7,952.22"
"Luminario LED industrial y comercial, carcasa de aluminio, modelo 217011 de 160 W","$10,174.83"
Madera de pino (cimbra) de 1 cara de 15 mm x 1.22 x 2.44,$461.14
"Madera de pino de 3a de 3/4"" (19mm) x 12"" (30 cm) x 8-1/4' (2.50m)",$27.07
"Malla electrosoldada de 6x6-10/10, rollo de 2.5x40 m, modelo 604",$16.16
"Malla esquinera recta de 4""(100 mm) x 2.40",$30.68
Malla unión Termofon,$37.54
"Manguera de succión para agua y lodo de 75 mm (3"") código MAS-ES076, tramo de 30","$9,433.92"
"Marco con tapa AP de 50 x 50 cm, de 80 kg","$3,434.00"
"Membrana de refuerzo Festerflex, bolsa de 10 x 1.10 m, marca Fester",$11.21
Moldura de poliestireno tipo pecho paloma de 10 x 10 cm No. 1,$41.58
"Mortero expansivo SikaGrout Constructor, saco de 22 kg",$369.00
Panel CONTEC AAC-4 78 kg/cm2 (para Vivienda),"$4,680.63"
Panel CONTEC AAC-4 98 kg/cm2 (para Vivienda),"$4,726.17"
Panel de yeso regular de 1.22 x 2.44m (4' x 8') de 12.7 mm de espesor,$142.53
"Panel estructural Covintec Premium de 3"" x 1.22 x 2.44",$891.58
"Panel estructural de 3"" de 1.22 x 2.44 m, alambre Cal. 14",$891.58
"Panel semi-estructural de 2"" de 1.22 x 2.44 m, alambre Cal. 14",$844.66
Perfil principal T de 3.66,$270.00
Perfil secundario T de 0.61,$43.49
Perfil secundario T de 1.22,$84.60
"Perfiles de fierro tubular de lámina 1/2""x1""",$36.79
Piedra braza,$753.87
"Piedra de mármol (marmolina) blanco cero grueso, bolsa de 50 kg",$2.35
"Pija para madera con aristas #10 x 1 1/2"", punta 17 phillips negra, modelo PMA10038",$0.60
"Pija para tablaroca cuerda fina de #6 X 1 5/8"", phillips negra, modelo PT06041",$230.00
"Pintura anticorrosiva Comex 100 Primario®, cubeta de 19 litros",$157.71
"Pintura esmalte alquidálica anticorrosiva base agua, Acqua 100 Max®, cubeta de 19 litros",$154.42
"Pintura para señalamiento de tránsito Vía Color®, cubeta de 19 litros",$196.30
"Pintura vinil acrílica satinada base agua Vinimex®, bote de 19 litros.",$145.46
"Placa de acero A-36 de 1/4"" de 11 x 5 cm",$71.53
"Placa de acero A-36 de 1/4"" de 9 x 5 cm",$58.52
"Plaka plafón Dune Humiguard de 61 x 61 cm, resistente al fuego, caja con 16 piezas","$2,718.00"
"Plato quiebra chorro con bola de contra peso y codo cespol, de fierro fundido Polietileno de 400 micras","$1,185.80"
,$14.06
Polín cimbra de pino de 8 cm x 8 cm x 2.50,$10.41
Poste calibre 26 de 4.10 cm x 2.44,$53.34
Poste calibre 26 de 6.35 cm x 2.44,$63.64
"Poste cónico circular de 8.00 m, fabricado lamina de acero, calibre 11, modelo PS027","$5,352.70"
"Poste cónico cuadrado, serie PCCU de 5 de altura, espesor de placa de 11.1 mm, terminado galvanizado","$1,909.81"
"Poste metálico cal. 26, 9.20 cm x 2.44",$34.71
"Puerta de abatir de 1.80 x 1.20 m, cristal claro de mm completo, con marco de aluminio blanco pintura electrostática. (incluye: chapa sencilla con llave y 2 jaladeras)","$5,915.99"
"Recubrimiento acrílico pasta Texturi Tersa®, cubeta de 19 litros",$970.69
"Recubrimiento protector y decorativo elástico Festerblanc, cubeta de 19 litros, marca Fester","$3,080.60"
"Recubrimiento texturizable Vinicement D, cubeta de 33 kg, color J101, marca Corev","$1,215.52"
"Reducción Fo.Fo. Bridada de 10""x 3"" (250x76 mm)","$5,722.48"
"Reducción Fo.Fo. Bridada de 10""x 4"" (250x100 mm)","$6,393.24"
"Reducción Fo.Fo. Bridada de 10""x 6"" (250x150 mm)","$6,740.58"
"Reducción Fo.Fo. Bridada de 10""x 8"" (250x200 mm)","$8,082.75"
"Reducción Fo.Fo. Bridada de 3""x 2"" (76x51 mm)","$1,093.19"
"Reducción Fo.Fo. Bridada de 3""x 2-1/2"" (76x63 mm)","$1,433.29"
"Reducción Fo.Fo. Bridada de 4""x 2"" (100x51 mm)","$1,664.97"
"Reducción Fo.Fo. Bridada de 4""x 2-1/2"" (100x63 mm)","$1,906.62"
"Reducción Fo.Fo. Bridada de 4""x 3"" (100x76 mm)","$2,093.87"
"Reducción Fo.Fo. Bridada de 6""x 2"" (150x51 mm)","$2,420.34"
"Reducción Fo.Fo. Bridada de 6""x 2-1/2"" (150x63 mm)","$2,731.91"
"Reducción Fo.Fo. Bridada de 6""x 3"" (150x76 mm)","$3,162.77"
"Reducción Fo.Fo. Bridada de 6""x 4"" (150x100 mm)","$3,307.24"
"Reducción Fo.Fo. Bridada de 8""x 2"" (200x51 mm)","$3,810.50"
"Reducción Fo.Fo. Bridada de 8""x 2-1/2"" (200x63 mm)","$3,919.00"
"Reducción Fo.Fo. Bridada de 8""x 3"" (200x76 mm)","$4,002.45"
"Reducción Fo.Fo. Bridada de 8""x 4"" (200x100 mm)","$4,558.14"
"Reducción Fo.Fo. Bridada de 8""x 6"" (200x150 mm)","$5,213.50"
Refuerzo horizontal para muro de block,$8.99
Rejilla de piso con bisagra Fo.Fo. de 60x40 cm 80kg,"$3,829.92"
"Rollo plomero de lija de 25 mm de ancho, largo de 45 m, tipo J-86, modelo 01917",$7.81
"Sellador acrílico 5x1 Reforzado®, cubeta de 19 litros.",$102.77
"Semivigueta de concreto con alma abierta, peralte de 13 cm, de 2.20 de longitud",$147.28
"Semivigueta de concreto con alma abierta, peralte de 15 cm, de 2.20 de longitud",$147.28
"Silicón blanco industrial Dow Corning 732, cartucho de 300 ml",$102.17
"Sistema prefabricado de compuesto de asfaltos destilados modificados modelo PG-45 T SBS con refuerzo de poliéster 180 grs/m2, acabado superior de gravilla, acabado inferior de polietileno, espesor de 4.50 mm, rollo de 100 x 1",$27.19
"Slant de concreto de 6""(15 cm) de dámetro, resistencia del concreto 280 kgf/cm2, longitud total 100 cm, peso 0.028 kg",$88.61
"Tabique de 20 x 10 x 10 cm, de 1 cara, capa de esmalte vidriado","$47,099.33"
"Tabique de 20 x 10 x 10 cm, de 2 caras, capa de esmalte vidriado","$59,600.61"
"Tabique hueco Vintex Natural 12/12 de 12x12x24 cm, acabado liso, modelo VIN1212NATU","$7,095.90"
"Tabique hueco Vintex Natural 6/12 de 6x12x24 cm, acabado rústico, modelo VIN0612RNATU","$3,464.81"
Tabique rojo recocido de 7 x 14 x 28 cm,"$3,389.40"
"Tablacemento USG DUROCK® de 1/2""(12.7 mm) de espesor, medidas 1,22m x 2.44m",$689.66
"Tapa ciega Fo.Fo. de 10"" (256 mm) de diámetro","$3,581.78"
"Tapa ciega Fo.Fo. de 2"" (51 mm) de diámetro",$282.37
"Tapa ciega Fo.Fo. de 2-1/2"" (63 mm) de diámetro",$423.86
"Tapa ciega Fo.Fo. de 3"" (76 mm) de diámetro",$548.26
"Tapa ciega Fo.Fo. de 4"" (101 mm) de diámetro",$898.32
"Tapa ciega Fo.Fo. de 6"" (152 mm) de diámetro","$1,451.76"
"Tapa ciega Fo.Fo. de 8"" (203 mm) de diámetro","$2,393.82"
"Tapa precolada para registro de 0.40x0.60x1.00 Tapete de jerga de 60 x 37 cm, clave TAJE-60",$480.92
,$62.50
Tapón cubretaladros modelo PL-A100,$28.05
"Taquete color negro de 1/2"" x 1"", modelo FDP013",$40.55
"Taquete color negro de 1/4 x 1"", modelo FDP006",$0.56
"Taquete color negro de 5/16 x 1"", modelo FDP008",$0.68
"Taza redonda de cerámica porcelanizada de 4.8 litros por descarga, modelo Cadet Pro RF, color blanco.","$1,590.04"
"Tee de Fo.Fo. Bridada de 10"" x 10"" (250x250 mm)","$19,132.66"
"Tee de Fo.Fo. Bridada de 10"" x 2-1/2"" (250x63 mm)","$13,229.04"
"Tee de Fo.Fo. Bridada de 10"" x 3"" (250x76 mm)","$14,741.02"
"Tee de Fo.Fo. Bridada de 10"" x 4"" (250x100 mm)","$15,208.35"
"Tee de Fo.Fo. Bridada de 10"" x 6"" (250x150 mm)","$15,932.33"
"Tee de Fo.Fo. Bridada de 10"" x 8"" (250x200 mm)","$16,916.25"
"Tee de Fo.Fo. Bridada de 2"" x 2"" (51x51 mm)","$1,468.21"
"Tee de Fo.Fo. Bridada de 2-1/2"" x 2"" (64x51 mm)","$1,761.56"
"Tee de Fo.Fo. Bridada de 2-1/2"" x 2-1/2"" (63x63 mm)","$1,913.53"
"Tee de Fo.Fo. Bridada de 3"" x 2"" (76x51 mm)","$2,698.42"
"Tee de Fo.Fo. Bridada de 3"" x 2-1/2"" (76x63 mm)","$2,856.02"
"Tee de Fo.Fo. Bridada de 3"" x 3"" (76x76 mm)","$3,071.13"
"Tee de Fo.Fo. Bridada de 4"" x 2"" (100x51 mm)","$3,372.81"
"Tee de Fo.Fo. Bridada de 4"" x 2-1/2"" (100x63 mm)","$3,562.83"
"Tee de Fo.Fo. Bridada de 4"" x 3"" (100x76 mm)","$3,904.73"
"Tee de Fo.Fo. Bridada de 4"" x 4"" (100x100 mm)","$4,226.14"
"Tee de Fo.Fo. Bridada de 6"" x 2"" (150x51 mm)","$5,186.81"
"Tee de Fo.Fo. Bridada de 6"" x 2-1/2"" (150x63 mm)","$5,530.22"
"Tee de Fo.Fo. Bridada de 6"" x 3"" (150x76 mm)","$5,762.60"
"Tee de Fo.Fo. Bridada de 6"" x 4"" (150x100 mm)","$6,146.28"
"Tee de Fo.Fo. Bridada de 6"" x 6"" (150x150 mm) Tee de Fo.Fo. Bridada de 8"" x 2-1/2"" (200x63 mm)","$6,509.18"
,"$8,435.91"
"Tee de Fo.Fo. Bridada de 8"" x 3"" (200x76 mm)","$8,943.37"
"Tee de Fo.Fo. Bridada de 8"" x 4"" (200x100 mm)","$9,410.02"
"Tee de Fo.Fo. Bridada de 8"" x 6"" (200x150 mm)","$9,874.30"
"Tee de Fo.Fo. Bridada de 8"" x 8"" (200x200 mm)","$10,590.98"
Tepetate,$303.18
"Piso porcelánico modelo Dome, de 60 x 60 cm, color Graphite, marca Interceramic",$619.82
Tezontle,$540.42
"Thinner estándar Comex, bote de 20 litros",$47.73
"Tornillo cabeza extraplana de 6 mm x 1 1/8""",$0.30
"Tornillo cabeza hexagonal Grado 2 de 1/2"" x 2"", código EL13051",$26.19
"Tornillo cabeza hexagonal Grado 2 de 3/4"" x 4"", código EL19102",$64.59
"Tornillo cabeza hexagonal Grado 2 de 7/8"" x 5"", código EL22127",$117.70
"Tornillo de acero de 16 x 64 mm (5/8"" x 2 1/2"") para brida",$31.00
"Tornillo de acero de 16 x 75 mm (5/8"" x 3"") para brida",$34.00
Triplay de madera de pino de 1a de 6 mm x 1.22 x 2.44,$92.18
"Tubo de concreto reforzado de 107 cm (42"") con junta hermética, unión espiga-campana, grado 1","$3,564.99"
"Tubo de concreto reforzado de 122 cm (48"") con junta hermética, unión espiga-caja, grado 1","$4,330.67"
